sf__Id,sf__Created,Name,inscor__Keyword__c,Manufacturer_Name__c,BD_ExternalId__c,job_id
01tep000002QcwRAAS,False,116W4115-3,WASHER,Boeing,22418.0,750ep000003HeSLAA0
01tep000002QcwSAAS,False,116W4115-4,WASHER,Boeing,22419.0,750ep000003HeSLAA0
01tep000002QcwTAAS,False,116W4115-5,WASHER,Boeing,22420.0,750ep000003HeSLAA0
01tep000002QcwUAAS,False,116W4115-6,WASHER,Boeing,22421.0,750ep000003HeSLAA0
01tep000002QcwVAAS,False,116W4115-7,WASHER,Boeing,22422.0,750ep000003HeSLAA0
01tep000002QcwWAAS,False,116W4116-11,PLATE,Boeing,22423.0,750ep000003HeSLAA0
01tep000002QcwXAAS,False,116W4116-12,SHIM,Boeing,22424.0,750ep000003HeSLAA0
01tep000002QcwYAAS,False,116W4116-13,SHIM,Boeing,22425.0,750ep000003HeSLAA0
01tep000002QcwZAAS,False,116W4116-14,PLATE,Boeing,22426.0,750ep000003HeSLAA0
01tep000002QcwaAAC,False,116W4116-15,SHIM,Boeing,22427.0,750ep000003HeSLAA0
01tep000002QcwbAAC,False,116W4116-16,SHIM,Boeing,22428.0,750ep000003HeSLAA0
01tep000002QcwcAAC,False,116W4116-18,PLATE,Boeing,22429.0,750ep000003HeSLAA0
01tep000002QcwdAAC,False,116W4116-20,PLATE,Boeing,22430.0,750ep000003HeSLAA0
01tep000002QcweAAC,False,116W4116-22,SHIM,Boeing,22431.0,750ep000003HeSLAA0
01tep000002QcwfAAC,False,116W4116-23,SHIM,Boeing,22432.0,750ep000003HeSLAA0
01tep000002QcwgAAC,False,116W4116-5,PLATE,Boeing,22433.0,750ep000003HeSLAA0
01tep000002QcwhAAC,False,116W4117-17,RUBSTRIP,Boeing,22434.0,750ep000003HeSLAA0
01tep000002QcwiAAC,False,116W4117-18,RUBSTRIP,Boeing,22435.0,750ep000003HeSLAA0
01tep000002QcwjAAC,False,116W4117-19,RUBSTRIP,Boeing,22436.0,750ep000003HeSLAA0
01tep000002QcwkAAC,False,116W4117-20,RUBSTRIP,Boeing,22437.0,750ep000003HeSLAA0
01tep000002QcwlAAC,False,116W4117-23,RUBSTRIP,Boeing,22438.0,750ep000003HeSLAA0
01tep000002QcwmAAC,False,116W4117-24,RUBSTRIP,Boeing,22439.0,750ep000003HeSLAA0
01tep000002QcwnAAC,False,116W4117-25,STRIP,Boeing,22440.0,750ep000003HeSLAA0
01tep000002QcwoAAC,False,116W4117-26,STRIP,Boeing,22441.0,750ep000003HeSLAA0
01tep000002QcwpAAC,False,116W4652-1,SEAL,Boeing,22442.0,750ep000003HeSLAA0
01tep000002QcwqAAC,False,116W4652-2,SEAL,Boeing,22443.0,750ep000003HeSLAA0
01tep000002QcwrAAC,False,116W4652-3,SEAL,Boeing,22444.0,750ep000003HeSLAA0
01tep000002QcwsAAC,False,116W4652-4,SEAL,Boeing,22445.0,750ep000003HeSLAA0
01tep000002QcwtAAC,False,116W4700-365,SEAL AY,None Specified,22446.0,750ep000003HeSLAA0
01tep000002QcwuAAC,False,116W4701-43,DOOR AY,Boeing,22447.0,750ep000003HeSLAA0
01tep000002QcwvAAC,False,116W4701-45,DOOR AY,Boeing,22448.0,750ep000003HeSLAA0
01tep000002QcwwAAC,False,116W4701-47,DOOR AY,Boeing,22449.0,750ep000003HeSLAA0
01tep000002QcwxAAC,False,116W4701-49,DOOR,Boeing,22450.0,750ep000003HeSLAA0
01tep000002QcwyAAC,False,116W4702-3,PIN,Boeing,22451.0,750ep000003HeSLAA0
01tep000002QcwzAAC,False,116W4702-4,PIN,Boeing,22452.0,750ep000003HeSLAA0
01tep000002Qcx0AAC,False,116W4702-5,PIN,Boeing,22453.0,750ep000003HeSLAA0
01tep000002Qcx1AAC,False,116W4707-5,SPRING,Boeing,22454.0,750ep000003HeSLAA0
01tep000002Qcx2AAC,False,116W4707-6,SPRING,Boeing,22455.0,750ep000003HeSLAA0
01tep000002Qcx3AAC,False,161W1345-1,RACE AY,Boeing,22456.0,750ep000003HeSLAA0
01tep000002Qcx4AAC,False,161W1501-1,RACE ASSEMBLY -,SPIRIT AEROSYSTEMS,22457.0,750ep000003HeSLAA0
01tep000002Qcx5AAC,False,161W1502-1,BALL AY,Boeing,22458.0,750ep000003HeSLAA0
01tep000002Qcx6AAC,False,161W1503-1,PLATE,Boeing,22459.0,750ep000003HeSLAA0
01tep000002Qcx7AAC,False,161W1503-2,PLATE,Boeing,22460.0,750ep000003HeSLAA0
01tep000002Qcx8AAC,False,161W1504-1,NUT,Boeing,22461.0,750ep000003HeSLAA0
01tep000002Qcx9AAC,False,161W1505-1,TAB,Boeing,22462.0,750ep000003HeSLAA0
01tep000002QcxAAAS,False,161W3107-1,LINK AY,Boeing,22463.0,750ep000003HeSLAA0
01tep000002QcxBAAS,False,161W3109-1,LINK AY,Boeing,22464.0,750ep000003HeSLAA0
01tep000002QcxCAAS,False,161W4018-2,PIN,Boeing,22465.0,750ep000003HeSLAA0
01tep000002QcxDAAS,False,161W4114-1,PIN,Boeing,22466.0,750ep000003HeSLAA0
01tep000002QcxEAAS,False,161W6003-4,HOOK AY,Boeing,22467.0,750ep000003HeSLAA0
01tep000002QcxFAAS,False,161W6005-1,LINK AY,Boeing,22468.0,750ep000003HeSLAA0
01tep000002QcxGAAS,False,161W6007-1,LINK AY,Boeing,22469.0,750ep000003HeSLAA0
01tep000002QcxHAAS,False,161W6011-1,PIN,Boeing,22470.0,750ep000003HeSLAA0
01tep000002QcxIAAS,False,161W6012-1,WASHER,Boeing,22471.0,750ep000003HeSLAA0
01tep000002QcxJAAS,False,161W6012-5,WASHER,Boeing,22472.0,750ep000003HeSLAA0
01tep000002QcxKAAS,False,161W6012-7,WASHER,Boeing,22473.0,750ep000003HeSLAA0
01tep000002QcxLAAS,False,161W6013-1,KICKERAY,Boeing,22474.0,750ep000003HeSLAA0
01tep000002QcxMAAS,False,161W6016-1,WASHER,Boeing,22475.0,750ep000003HeSLAA0
01tep000002QcxNAAS,False,161W6019-1,LINK AY,Boeing,22476.0,750ep000003HeSLAA0
01tep000002QcxOAAS,False,161W6021-1,SPOOL AY,Boeing,22477.0,750ep000003HeSLAA0
01tep000002QcxPAAS,False,161W6022-1,SPRING,Boeing,22478.0,750ep000003HeSLAA0
01tep000002QcxQAAS,False,161W6023-1,SPACER,Boeing,22479.0,750ep000003HeSLAA0
01tep000002QcxRAAS,False,161W6023-3,SPACER,Boeing,22480.0,750ep000003HeSLAA0
01tep000002QcxSAAS,False,161W6024-1,WASHER,Boeing,22481.0,750ep000003HeSLAA0
01tep000002QcxTAAS,False,161W6025-1,WASHER,Boeing,22482.0,750ep000003HeSLAA0
01tep000002QcxUAAS,False,161W6025-3,WASHER,Boeing,22483.0,750ep000003HeSLAA0
01tep000002QcxVAAS,False,161W6026-1,NUT,None Specified,22484.0,750ep000003HeSLAA0
01tep000002QcxWAAS,False,161W6027-1,WASHER,Boeing,22485.0,750ep000003HeSLAA0
01tep000002QcxXAAS,False,161W6028-1,PIN,Boeing,22486.0,750ep000003HeSLAA0
01tep000002QcxYAAS,False,161W6029-1,STOP FTG,Boeing,22487.0,750ep000003HeSLAA0
01tep000002QcxZAAS,False,161W6031-1,PIN,Boeing,22488.0,750ep000003HeSLAA0
01tep000002QcxaAAC,False,161W6032-1,PIN,Boeing,22489.0,750ep000003HeSLAA0
01tep000002QcxbAAC,False,161W6033-1,PIN,Boeing,22490.0,750ep000003HeSLAA0
01tep000002QcxcAAC,False,161W7001-1,LINK AY,Boeing,22491.0,750ep000003HeSLAA0
01tep000002QcxdAAC,False,161W7003-1,LINK AY,Boeing,22492.0,750ep000003HeSLAA0
01tep000002QcxeAAC,False,16288,RETAINER,None Specified,22493.0,750ep000003HeSLAA0
